"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUS","Australia","2008","2008",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUS","Australia","2009","2009",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUS","Australia","2010","2010",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUS","Australia","2011","2011",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUS","Australia","2012","2012",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUS","Australia","2013","2013",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUS","Australia","2014","2014",0.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUS","Australia","2015","2015",0.7,"B","Break"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUS","Australia","2016","2016",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUS","Australia","2017","2017",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2000","2000",1.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2001","2001",1.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2002","2002",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2003","2003",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2004","2004",1.9,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2005","2005",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2006","2006",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2007","2007",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2008","2008",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2009","2009",1.8,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2010","2010",1.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2011","2011",1.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2012","2012",1.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2013","2013",1.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2014","2014",1.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2015","2015",1.5,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2016","2016",1.5,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2017","2017",1.5,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","AUT","Austria","2018","2018",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2000","2000",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2001","2001",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2002","2002",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2003","2003",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2004","2004",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2005","2005",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2006","2006",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2007","2007",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2008","2008",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2009","2009",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2010","2010",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2011","2011",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2012","2012",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2013","2013",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2014","2014",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2015","2015",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2016","2016",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2017","2017",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","BEL","Belgium","2018","2018",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2000","2000",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2001","2001",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2002","2002",0.7,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2003","2003",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2004","2004",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2005","2005",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2006","2006",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2007","2007",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2008","2008",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2009","2009",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2010","2010",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2011","2011",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2012","2012",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2013","2013",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2014","2014",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2015","2015",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2016","2016",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2017","2017",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CAN","Canada","2018","2018",0.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2005","2005",1.6,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2006","2006",1.5,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2007","2007",1.4,"B","Break"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2008","2008",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2009","2009",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2010","2010",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2011","2011",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2012","2012",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2013","2013",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2014","2014",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2015","2015",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2016","2016",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2017","2017",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","CZE","Czech Republic","2018","2018",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2000","2000",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2001","2001",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2002","2002",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2003","2003",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2004","2004",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2005","2005",1.4,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2006","2006",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2007","2007",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2008","2008",1.3,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2009","2009",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2010","2010",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2011","2011",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2012","2012",1.2,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2013","2013",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2014","2014",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2015","2015",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2016","2016",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2017","2017",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FIN","Finland","2018","2018",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2000","2000",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2001","2001",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2002","2002",1.1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2003","2003",1,"B","Break"
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2004","2004",1,,
"HUTIJOCS","Curative care bed-days","NBPHABNB","Number per capita","FRA","France","2005","2005",0.9,,
